what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1390621290831
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1390621291134
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1390621291918
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1390621293704
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1390621293705
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1390621293706
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1390621293707
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1390621293711
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1390621293714
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1390621293772
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1390621293871
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1390621293874
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1390621293883
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1390621294084
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1390621419942
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390621420765
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390621439838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390621439926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1390621441716
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390621443128
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1390621443528
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390621447302
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390621473801
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390621473856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1390621478510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390621572526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390621577972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390621621826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390621880039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390621927030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622630172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622631858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622729366
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1390622730768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622758957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622775733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390622780893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390624538696
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390624540553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390624555797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632216187
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1390632216229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632217228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632218473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390632218880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632314880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632337907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632338753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632341696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390632418335
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1390917528079
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1390917528081
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1390917528195
