what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170556604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170568953
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1392170571226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170571483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170573355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170578188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170580393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170581362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392170582414
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1392170591958
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1392170592308
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1392170592925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170593782
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392170594228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170625740
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392170626766
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392170630716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170632595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170633679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170645766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170649609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170650874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392170651853
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392170652967
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392170653347
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392170654863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170660196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170661868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170662517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170684258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170685119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170703411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170705077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170705902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1392170706598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170707712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170708110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170712101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170715033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170715584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170717879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392170719830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392170720362
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392170721186
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392170721610
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392170723057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170725808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170733854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170734929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170735432
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392170736179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170738062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170739935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170741248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170747488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170747834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170748502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392170750773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171011460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171012279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171284750
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392171285982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392171287916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171288439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171291006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392171294514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392171295100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171295980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171318441
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392171322879
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392171326576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392171328519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392171328714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392171328917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171329729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171341725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392171342118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392174927794
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392174928933
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392174933644
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392174936529
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392174936993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392174946796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392175128238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392175130849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179458409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179461703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179498262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179500066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179550942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179552411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179554932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179556665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179640119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179640908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179646306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179647798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179681574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392179683033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392194027905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392194028902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392194029941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392194030722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392194389134
