what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397085961353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085961762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085965126
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1397085966611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397085970059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397085970369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085970737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085973630
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1397085975117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397085977676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397085978036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085978413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085981256
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1397085982696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397085986022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397085986361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085989442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085994665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085996052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397085997162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397086000233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397086001717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397086002544
