what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1392696580834
ws,sysinfo,,,"win32",1392696580834
locale,sysinfo,,,"en_US",1392696580834
processors,sysinfo,,,"4",1392696580834
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392696580834
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1392696580834
java.specification.name,sysinfo,,,"Java Platform API Specification",1392696580834
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392696580834
java.specification.version,sysinfo,,,"1.6",1392696580834
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1392696580834
java.version,sysinfo,,,"1.6.0_29",1392696580834
java.vm.info,sysinfo,,,"mixed mode",1392696580834
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1392696580834
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392696580834
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392696580834
java.vm.specification.version,sysinfo,,,"1.0",1392696580834
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1392696580834
java.vm.version,sysinfo,,,"20.4-b02",1392696580834
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1392696580944
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1392696580957
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1392696580985
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1392696581280
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1392696581470
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1392696581636
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1392696581985
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1392696582862
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1392696584591
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1392696590600
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1392696590613
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1392696590798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392696596080
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1392696602347
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1392696603070
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1392696603196
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1392696603252
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1392696603267
started,bundle,org.eclipse.jst.jee,1.0.303.v201103311600,"org.eclipse.jst.jee",1392696603336
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1392696609936
started,bundle,org.eclipse.wst.dtd.core,1.1.402.v201109061850,"org.eclipse.wst.dtd.core",1392696612474
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1392696612508
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1392696612512
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1392696612557
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1392696612817
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1392696612850
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1392696612968
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1392696613244
